epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.23397201299667358,2.702753782272339,0.036215249449014664,4.766031742095947,0.0010000000474974513
2,0.5152230262756348,1.504006028175354,0.5772762298583984,1.3711730241775513,0.0010000000474974513
3,0.7419262528419495,0.7834665179252625,0.8182861804962158,0.5677958130836487,0.0010000000474974513
4,0.855389416217804,0.4478864073753357,0.955496072769165,0.15787683427333832,0.0010000000474974513
5,0.9089170098304749,0.29550889134407043,0.9342004656791687,0.22228112816810608,0.0010000000474974513
6,0.9299901127815247,0.2280348539352417,0.987758219242096,0.0496324822306633,0.0010000000474974513
7,0.9385660290718079,0.19527751207351685,0.9889059066772461,0.04564693197607994,0.0010000000474974513
8,0.9545382261276245,0.14739890396595,0.9822749495506287,0.058946643024683,0.0010000000474974513
9,0.9572799205780029,0.1371682733297348,0.9922213554382324,0.028590435162186623,0.0010000000474974513
10,0.9619663953781128,0.12208405882120132,0.9762815833091736,0.07672397047281265,0.0010000000474974513
11,0.9653776288032532,0.11410614848136902,0.9938791394233704,0.020904289558529854,0.0010000000474974513
12,0.9682149887084961,0.10467719286680222,0.995919406414032,0.01382147241383791,0.0010000000474974513
13,0.9722638726234436,0.08884233981370926,0.9876307249069214,0.03724035248160362,0.0010000000474974513
14,0.970574140548706,0.09876179695129395,0.9941341280937195,0.021059613674879074,0.0010000000474974513
15,0.980616569519043,0.06554196029901505,0.9965569972991943,0.012549271807074547,0.0005000000237487257
16,0.9804890751838684,0.061853665858507156,0.9974496364593506,0.010846367105841637,0.0005000000237487257
17,0.9848567247390747,0.04975157231092453,0.9974496364593506,0.009307386353611946,0.0005000000237487257
18,0.984569787979126,0.05183097720146179,0.9975771307945251,0.008333914913237095,0.0005000000237487257
19,0.983677089214325,0.05272617191076279,0.9948992729187012,0.01663837395608425,0.0005000000237487257
20,0.9853349328041077,0.04822472110390663,0.9980872273445129,0.005844264756888151,0.0005000000237487257
