,precision,recall,f1-score,support
Class 0,0.7014925373134329,0.7833333333333333,0.7401574803149608,60.0
Class 1,0.8328947368421052,0.8791666666666667,0.8554054054054053,720.0
Class 2,0.776,0.9053333333333333,0.8356923076923076,750.0
Class 3,0.8823529411764706,0.7666666666666667,0.8204518430439953,450.0
Class 4,0.9257575757575758,0.9257575757575758,0.9257575757575758,660.0
Class 5,0.8949343339587242,0.7571428571428571,0.820292347377472,630.0
Class 6,0.9915966386554622,0.7866666666666666,0.8773234200743494,150.0
Class 7,0.8957055214723927,0.9733333333333334,0.9329073482428116,450.0
Class 8,0.9397590361445783,0.8666666666666667,0.9017341040462428,450.0
Class 9,0.9613034623217923,0.9833333333333333,0.9721936148300722,480.0
Class 10,0.9848942598187311,0.9878787878787879,0.9863842662632376,660.0
Class 11,0.9322429906542056,0.95,0.9410377358490566,420.0
Class 12,0.9799139167862266,0.9898550724637681,0.9848594087959626,690.0
Class 13,0.9821673525377229,0.9944444444444445,0.9882677708764664,720.0
Class 14,0.9853479853479854,0.9962962962962963,0.9907918968692448,270.0
Class 15,0.9951923076923077,0.9857142857142858,0.9904306220095694,210.0
Class 16,0.9662162162162162,0.9533333333333334,0.9597315436241611,150.0
Class 17,0.9970414201183432,0.9361111111111111,0.9656160458452722,360.0
Class 18,0.9562841530054644,0.8974358974358975,0.925925925925926,390.0
Class 19,0.5,0.7666666666666667,0.605263157894737,60.0
Class 20,0.7681159420289855,0.5888888888888889,0.6666666666666666,90.0
Class 21,0.631578947368421,0.4,0.4897959183673469,90.0
Class 22,0.9764705882352941,0.6916666666666667,0.8097560975609757,120.0
Class 23,0.634020618556701,0.82,0.7151162790697675,150.0
Class 24,0.8837209302325582,0.8444444444444444,0.8636363636363636,90.0
Class 25,0.7595356550580431,0.9541666666666667,0.8457987072945522,480.0
Class 26,0.9634146341463414,0.8777777777777778,0.9186046511627907,180.0
Class 27,0.5094339622641509,0.45,0.47787610619469023,60.0
Class 28,0.9166666666666666,0.7333333333333333,0.8148148148148148,150.0
Class 29,0.7619047619047619,0.7111111111111111,0.735632183908046,90.0
Class 30,0.96875,0.62,0.7560975609756097,150.0
Class 31,0.9151943462897526,0.9592592592592593,0.9367088607594937,270.0
Class 32,0.9375,1.0,0.967741935483871,60.0
Class 33,0.7877551020408163,0.919047619047619,0.8483516483516483,210.0
Class 34,0.7737226277372263,0.8833333333333333,0.8249027237354085,120.0
Class 35,0.9426229508196722,0.8846153846153846,0.9126984126984127,390.0
Class 36,0.5702479338842975,0.575,0.5726141078838175,120.0
Class 37,0.3888888888888889,0.4666666666666667,0.42424242424242425,60.0
Class 38,0.9355783308931186,0.9260869565217391,0.9308084486525856,690.0
Class 39,0.6666666666666666,0.6444444444444445,0.6553672316384181,90.0
Class 40,0.8588235294117647,0.8111111111111111,0.8342857142857144,90.0
Class 41,0.8923076923076924,0.9666666666666667,0.928,60.0
Class 42,0.9714285714285714,0.7555555555555555,0.85,90.0
accuracy,0.8906571654790182,0.8906571654790182,0.8906571654790182,0.8906571654790182
macro avg,0.8487313193639564,0.8271700514966439,0.8325521087935405,12630.0
weighted avg,0.8963613611025252,0.8906571654790182,0.890309342454531,12630.0
