model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,training_time_seconds,prediction_time_seconds
Majority Class Dummy,Validation,0.057383320581484314,0.0013344958274763793,0.023255813953488372,0.0025241476794669003,0.006228290945891931,0.0052516519999699085,0.002910452999969948
Majority Class Dummy,Test,0.05938242280285035,0.0013809865768104734,0.023255813953488372,0.002607154030660131,0.006657222287315062,0.0052516519999699085,0.0005530550000116818
HOG + Linear SVM,Validation,0.9493751593981127,0.9555360542433811,0.9606386133111722,0.9578698389846588,0.9492124443687356,21142.930242825998,0.4302561260010407
HOG + Linear SVM,Test,0.8771179730799683,0.8628344472582256,0.8655201453977995,0.8623472406852613,0.8765017492963572,21142.930242825998,0.7525272420025431
