stage,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_time_seconds
Feature extraction,1,1.0885957800440729,0.6573468932317403,0.7803867037154618,0.7464932415200204,0.001,1753.2765748500824
Feature extraction,2,0.6527633368465402,0.779481620811681,0.6275707851664026,0.7913797500637593,0.001,2445.1470391750336
Feature extraction,3,0.5516072095607204,0.8145184429495967,0.5202306122598646,0.8269574088242795,0.001,3099.654512166977
Feature extraction,4,0.4867221928305624,0.8351133356712469,0.4809150338188114,0.8365212955878603,0.001,34262.13376092911
Feature extraction,5,0.4424321383563729,0.8497784295597284,0.44420658734890006,0.8553940321346595,0.001,2435.951898097992
