true_original_class,predicted_original_class,true_class_name,predicted_class_name,error_count
36,33,Class 36,Class 33,1
4,25,Class 4,Class 25,1
4,30,Class 4,Class 30,1
4,35,Class 4,Class 35,1
37,34,Class 37,Class 34,1
37,35,Class 37,Class 35,1
38,34,Class 38,Class 34,1
3,9,Class 3,Class 9,1
3,41,Class 3,Class 41,1
42,35,Class 42,Class 35,1
41,4,Class 41,Class 4,1
41,42,Class 41,Class 42,1
42,4,Class 42,Class 4,1
42,6,Class 42,Class 6,1
42,20,Class 42,Class 20,1
18,35,Class 18,Class 35,1
42,11,Class 42,Class 11,1
40,38,Class 40,Class 38,1
4,7,Class 4,Class 7,1
4,9,Class 4,Class 9,1
4,24,Class 4,Class 24,1
38,41,Class 38,Class 41,1
39,33,Class 39,Class 33,1
39,36,Class 39,Class 36,1
40,13,Class 40,Class 13,1
17,7,Class 17,Class 7,1
