stage,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_time_seconds
Fine-tuning,1,0.18717320684810201,0.9352823030573533,0.12429225260476864,0.9588115276715123,0.0001,6000.972774982452
Fine-tuning,2,0.10296960975107222,0.9654095068065164,0.08691648697992181,0.9706707472583525,0.0001,1506.7807488441467
Fine-tuning,3,0.07622311140844419,0.9744317276118213,0.07016704640607997,0.9757714868655956,0.0001,1518.5493688583374
Fine-tuning,4,0.059733658691552095,0.9795326298339019,0.06288297206056047,0.9794695230808467,0.0001,1454.9052119255066
Fine-tuning,5,0.04869833180688175,0.9826569324449262,0.05184481771996787,0.9825299668451926,0.0001,1784.2577629089355
