,precision,recall,f1-score,support
0,1.0,1.0,1.0,60.0
1,0.9809004092769441,0.9986111111111111,0.9896765313145217,720.0
2,0.9713914174252276,0.996,0.9835418038183016,750.0
3,0.9932735426008968,0.9844444444444445,0.9888392857142858,450.0
4,0.9984567901234568,0.9803030303030303,0.989296636085627,660.0
5,0.985691573926868,0.9841269841269841,0.9849086576648133,630.0
6,0.8823529411764706,1.0,0.9375,150.0
7,0.9296066252587992,0.9977777777777778,0.962486602357985,450.0
8,0.9977827050997783,1.0,0.9988901220865705,450.0
9,0.9979123173277662,0.9958333333333333,0.9968717413972888,480.0
10,1.0,0.9954545454545455,0.9977220956719818,660.0
11,0.9897435897435898,0.919047619047619,0.9530864197530864,420.0
12,0.9984399375975039,0.927536231884058,0.9616829451540195,690.0
13,0.9410994764397905,0.9986111111111111,0.9690026954177897,720.0
14,0.996309963099631,1.0,0.9981515711645101,270.0
15,1.0,0.9857142857142858,0.9928057553956835,210.0
16,1.0,1.0,1.0,150.0
17,1.0,0.8777777777777778,0.9349112426035503,360.0
18,1.0,0.9153846153846154,0.9558232931726908,390.0
19,0.9836065573770492,1.0,0.9917355371900827,60.0
20,0.8910891089108911,1.0,0.9424083769633509,90.0
21,0.8571428571428571,0.6666666666666666,0.75,90.0
22,0.7711864406779662,0.7583333333333333,0.7647058823529411,120.0
23,0.9803921568627451,1.0,0.99009900990099,150.0
24,0.9777777777777777,0.9777777777777777,0.9777777777777777,90.0
25,0.9136276391554703,0.9916666666666667,0.9510489510489512,480.0
26,0.967391304347826,0.9888888888888889,0.978021978021978,180.0
27,0.5,0.6833333333333333,0.5774647887323944,60.0
28,0.974025974025974,1.0,0.9868421052631579,150.0
29,0.7758620689655172,1.0,0.8737864077669902,90.0
30,0.937984496124031,0.8066666666666666,0.8673835125448028,150.0
31,0.9962825278810409,0.9925925925925926,0.9944341372912802,270.0
32,0.9836065573770492,1.0,0.9917355371900827,60.0
33,0.9813084112149533,1.0,0.9905660377358491,210.0
34,1.0,1.0,1.0,120.0
35,1.0,0.9897435897435898,0.9948453608247423,390.0
36,0.9914529914529915,0.9666666666666667,0.9789029535864978,120.0
37,1.0,0.9833333333333333,0.9915966386554621,60.0
38,0.9956268221574344,0.9898550724637681,0.9927325581395349,690.0
39,1.0,0.7444444444444445,0.8535031847133758,90.0
40,0.7355371900826446,0.9888888888888889,0.8436018957345971,90.0
41,0.9836065573770492,1.0,0.9917355371900827,60.0
42,1.0,0.7666666666666667,0.8679245283018869,90.0
accuracy,0.9696753760886777,0.9696753760886777,0.9696753760886777,0.9696753760886777
macro avg,0.9502434587908836,0.9500499408279994,0.9473965138534769,12630.0
weighted avg,0.9722991076073618,0.9696753760886777,0.9697644000328633,12630.0
