Model,Accuracy (%),Macro F1-score (%),Accuracy Improvement (percentage points),Relative Accuracy Improvement (%)
HOG + Linear SVM,87.71179730799683,86.23472406852612,0.0,0.0
Custom CNN,96.96753760886776,94.73965138534768,9.25574030087093,10.552446289944019
ResNet18,93.47585114806017,90.63484484804847,5.764053840063344,6.571583318288503
MobileNetV3-Large,89.06571654790181,83.25521087935405,1.3539192399049882,1.543599927784799
