Model,Accuracy (%),Macro Precision (%),Macro Recall (%),Macro F1-score (%),Weighted F1-score (%)
Custom CNN,96.96753760886776,95.02434587908836,95.00499408279994,94.73965138534768,96.97644000328633
ResNet18,93.47585114806017,90.86481200805359,91.32000395870465,90.63484484804847,93.4968596011638
MobileNetV3-Large,89.06571654790181,84.87313193639564,82.71700514966439,83.25521087935405,89.0309342454531
HOG + Linear SVM,87.71179730799683,86.28344472582256,86.55201453977995,86.23472406852612,87.65017492963571
