model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,training_time_seconds,inference_time_seconds,total_parameters,trainable_parameters,input_size,training_time_minutes,mean_inference_ms_per_image,parameters_millions
HOG + Linear SVM,0.8771179730799683,0.8628344472582256,0.8655201453977995,0.8623472406852613,0.8765017492963572,21142.930242826,0.7525272420025431,,,32 x 32,352.3821707137667,0.05958252114034387,
Custom CNN,0.9696753760886776,0.9502434587908836,0.9500499408279994,0.9473965138534768,0.9697644000328632,2140.780647754669,7.786086797714233,162379.0,161931.0,32 x 32,35.67967746257782,0.6164755976020772,0.162379
ResNet18,0.9347585114806017,0.908648120080536,0.9132000395870464,0.9063484484804847,0.9349685960116381,26328.085416078568,448.7868287563324,11198571.0,8415787.0,224 x 224,438.80142360130947,35.53339895141191,11.198571
MobileNetV3-Large,0.8906571654790182,0.8487313193639564,0.8271700514966439,0.8325521087935405,0.890309342454531,56261.62965273857,331.2344501018524,4257115.0,3035403.0,224 x 224,937.6938275456429,26.226005550423785,4.257115
