Model,Input Size,Training Time (minutes),Test Inference Time (seconds),Mean Inference Time (ms/image),Total Parameters,Parameters (millions)
HOG + Linear SVM,32 x 32,352.3821707137667,0.7525272420025431,0.05958252114034387,,
Custom CNN,32 x 32,35.67967746257782,7.786086797714233,0.6164755976020772,162379.0,0.162379
ResNet18,224 x 224,438.80142360130947,448.7868287563324,35.53339895141191,11198571.0,11.198571
MobileNetV3-Large,224 x 224,937.6938275456429,331.2344501018524,26.226005550423785,4257115.0,4.257115
